City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Nkan,GA,76.77,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
621,Marsa Matruh,EG,76.62,clear sky,31.3525,27.2453,Beau Site
622,Along,IN,75.61,overcast clouds,28.1667,94.7667,Hotel West
623,Chapais,CA,76.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
624,Scicli,IT,78.91,clear sky,36.7902,14.7014,Le Dimore Dei Venti
626,Bud,US,82.35,clear sky,39.447,-86.1758,Ted McQuinn Trust
634,Kumphawapi,TH,84.81,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
635,Tukrah,LY,78.48,clear sky,32.5341,20.5791,Lagrota restaurant
638,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
640,Warrington,GB,80.35,clear sky,53.3925,-2.5802,Villaggio Hotel
643,Benghazi,LY,79.3,clear sky,32.1167,20.0667,Tibesti Hotel
645,Paralimni,CY,84.11,clear sky,35.0375,33.9833,Amore Hotel Apartments
649,Channahon,US,86.16,clear sky,41.4295,-88.2287,Manor Motel
652,Aras,ES,81.01,clear sky,42.5617,-2.356,Jardines de Viana Spa
653,Nicoya,CR,76.46,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
654,Colwyn Bay,GB,76.21,overcast clouds,53.2948,-3.7267,Bryn Woodlands House
655,Corpus Christi,US,89.83,few clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
657,Kerema,PG,82.08,broken clouds,-7.9631,145.7785,Frena Lodge
658,Katsuura,JP,80.51,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
659,Tubuala,PA,81.72,scattered clouds,9.5167,-79.0333,
660,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
665,Dibulla,CO,80.53,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
666,Valleyview,CA,75.24,broken clouds,55.0667,-117.2859,Paradise Inn & Suites
668,Pimenta Bueno,BR,75.67,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
669,Dhanbad,IN,81.05,overcast clouds,23.8,86.45,Capital O 48963 Gulmohar Marriage Garden Saver
671,Natal,BR,77.22,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
673,Aquiraz,BR,78.89,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
675,Laibin,CN,84.6,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
677,Moa,CU,79.52,clear sky,20.6569,-74.9403,Carmen
681,Pasni,PK,82.94,overcast clouds,25.2631,63.471,Kashmiri Hotal
