City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
55,Sangar,RU,63.9242,127.4739,77.04,66,25,9.4,scattered clouds
56,Mahibadhoo,MV,3.7833,72.9667,83.12,76,98,18.19,overcast clouds
57,Vaini,TO,-21.2,-175.2,78.96,83,40,11.5,scattered clouds
58,Nova Olinda Do Norte,BR,-3.8881,-59.0942,80.64,65,76,2.62,broken clouds
59,Mahebourg,MU,-20.4081,57.7,68.25,82,75,16.11,broken clouds
60,Upernavik,GL,72.7868,-56.1549,44.1,79,100,4.29,overcast clouds
61,Zhezkazgan,KZ,47.8043,67.7144,72.75,61,7,9.8,clear sky
62,Stony Mountain,CA,50.0864,-97.2196,87.58,60,40,8.05,scattered clouds
63,Susehri,TR,40.1644,38.0867,61.32,87,87,4.38,overcast clouds
64,Port Elizabeth,ZA,-33.918,25.5701,61.32,97,75,4.61,broken clouds
65,Tuatapere,NZ,-46.1333,167.6833,44.94,90,100,5.82,overcast clouds
66,Tinqueux,FR,49.25,3.9833,59.02,77,0,3.44,clear sky
67,Ngama,TD,11.7833,17.1667,78.44,71,73,5.28,broken clouds
68,Kalevala,RU,65.2,31.1667,53.46,92,99,3.85,overcast clouds
69,Lexington,US,37.9887,-84.4777,81.72,77,75,8.05,broken clouds
70,Langevag,NO,62.4375,6.1892,57.56,80,100,6.91,overcast clouds
71,Saint-Pierre,RE,-21.3393,55.4781,68.92,70,0,25.32,clear sky
72,Saldanha,ZA,-33.0117,17.9442,48.25,79,0,10.36,clear sky
73,Arman,RU,59.7,150.1667,64.02,79,100,6.22,overcast clouds
74,Vardo,NO,70.3705,31.1107,55.38,82,30,0.0,scattered clouds
75,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,9,5.41,clear sky
76,Mombetsu,JP,44.3525,143.3525,68.02,88,20,11.5,few clouds
77,Georgetown,MY,5.4112,100.3354,78.73,96,40,6.91,scattered clouds
78,Thompson,CA,55.7435,-97.8558,75.36,53,40,5.75,scattered clouds
79,Anzhero-Sudzhensk,RU,56.081,86.0285,52.93,99,100,5.64,light rain
80,Kahului,US,20.8947,-156.47,87.82,61,40,26.46,scattered clouds
81,Naze,JP,28.3667,129.4833,83.32,82,100,17.05,overcast clouds
82,Aykhal,RU,66.0,111.5,48.51,83,100,7.43,overcast clouds
83,Butaritari,KI,3.0707,172.7902,82.36,75,16,19.77,few clouds
84,New Norfolk,AU,-42.7826,147.0587,46.92,76,82,2.35,broken clouds
85,Port Hawkesbury,CA,45.6169,-61.3485,76.12,76,0,6.91,clear sky
86,Campoverde,PE,-8.4753,-74.8058,76.69,97,61,0.96,broken clouds
87,Gillette,US,44.2911,-105.5022,95.05,18,0,14.97,clear sky
88,Kurchum,KZ,48.5722,83.6542,60.4,50,0,7.56,clear sky
89,Canaries,ES,28.0,-15.5,66.16,73,20,26.46,few clouds
90,Bilma,NE,18.6853,12.9164,92.84,14,63,8.99,broken clouds
91,Emerald,AU,-23.5333,148.1667,65.34,44,2,16.08,clear sky
92,Half Moon Bay,US,37.4636,-122.4286,93.54,76,0,24.16,haze
93,Yatou,CN,37.15,122.3833,78.46,66,17,4.68,few clouds
94,Pak Phanang,TH,8.3511,100.202,80.62,86,99,7.65,overcast clouds
95,Beringovskiy,RU,63.05,179.3167,54.64,51,12,21.61,few clouds
96,Intibuca,HN,14.3167,-88.1667,65.93,82,40,11.5,scattered clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,87,3.0,overcast clouds
98,Rawson,AR,-43.3002,-65.1023,44.24,47,42,13.89,scattered clouds
99,Saskylakh,RU,71.9167,114.0833,42.26,84,100,14.18,overcast clouds
100,Richards Bay,ZA,-28.783,32.0377,66.04,78,0,11.81,clear sky
101,Ostrovnoy,RU,68.0531,39.5131,53.53,84,13,6.44,few clouds
102,Provideniya,RU,64.3833,-173.3,46.51,76,75,22.37,broken clouds
103,Honiara,SB,-9.4333,159.95,87.03,59,14,6.11,few clouds
104,Hermanus,ZA,-34.4187,19.2345,53.8,81,98,2.71,overcast clouds
105,Bongouanou,CI,6.6486,-4.1992,66.9,92,77,3.56,broken clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,44.94,83,0,8.05,clear sky
107,Barrow,US,71.2906,-156.7887,42.82,81,100,18.41,light rain
108,Xiamen,CN,24.4798,118.0819,86.05,79,20,8.95,few clouds
109,Nome,US,64.5011,-165.4064,44.67,76,100,28.77,overcast clouds
110,Port-Gentil,GA,-0.7193,8.7815,74.35,77,99,11.18,overcast clouds
111,Dikson,RU,73.5069,80.5464,45.14,79,69,12.37,broken clouds
112,Maltahohe,NA,-24.8333,16.9833,51.85,37,3,4.61,clear sky
